run,arm,width,height,sample,Timestamp,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHIThreadTime,GameThreadWaitTime,PawnCount,IgnoredForSummary
hwrt-off-1440-1-v3,v3,2560,1440,22,2026-09-07T22:24:45.592Z,18.970600,15.235000,7.322200,18.970600,11.033700,12.125100,1,0
hwrt-off-1440-1-v3,v3,2560,1440,23,2026-09-07T22:24:46.579Z,18.819799,15.218100,13.966700,18.819799,10.617900,12.006700,1,0
hwrt-off-1440-1-v3,v3,2560,1440,24,2026-09-07T22:24:47.584Z,18.778601,15.221800,7.930000,18.778601,10.914200,11.961700,1,0
hwrt-off-1440-1-v3,v3,2560,1440,25,2026-09-07T22:24:48.586Z,20.132000,15.195200,7.682900,20.132000,10.921900,12.155100,1,0
hwrt-off-1440-1-v3,v3,2560,1440,26,2026-09-07T22:24:49.589Z,18.404400,15.190200,7.759100,18.404400,10.679600,11.859500,1,0
hwrt-off-1440-1-v3,v3,2560,1440,27,2026-09-07T22:24:50.592Z,18.914900,15.184100,7.435500,18.914900,11.044700,12.295200,1,0
hwrt-off-1440-1-v3,v3,2560,1440,28,2026-09-07T22:24:51.579Z,19.429100,15.229000,7.921800,19.429100,10.649600,11.982200,1,0
hwrt-off-1440-1-v3,v3,2560,1440,29,2026-09-07T22:24:52.581Z,19.094700,15.195500,8.214300,19.094700,10.787100,12.141800,1,0
hwrt-off-1440-1-v3,v3,2560,1440,30,2026-09-07T22:24:53.584Z,18.473000,15.176700,6.703500,18.473000,10.552600,11.811000,1,0
hwrt-off-1440-2-v4,v4,2560,1440,1,2026-09-07T22:27:45.587Z,15.131100,12.947500,7.164000,15.131100,8.649500,9.730900,1,0
hwrt-off-1440-2-v4,v4,2560,1440,2,2026-09-07T22:27:46.583Z,15.164800,13.147400,6.206900,15.164800,8.681200,9.880500,1,0
hwrt-off-1440-2-v4,v4,2560,1440,3,2026-09-07T22:27:47.580Z,16.165100,12.937000,7.101100,16.165100,8.664300,9.788300,1,0
hwrt-off-1440-2-v4,v4,2560,1440,4,2026-09-07T22:27:48.578Z,16.175501,12.985100,8.420500,16.175501,8.326500,9.942700,1,0
hwrt-off-1440-2-v4,v4,2560,1440,5,2026-09-07T22:27:49.578Z,15.703000,12.931400,7.846500,15.703000,8.533300,10.108000,1,0
hwrt-off-1440-2-v4,v4,2560,1440,6,2026-09-07T22:27:50.576Z,17.829901,12.944800,8.009400,17.829901,8.644500,9.661000,1,0
hwrt-off-1440-2-v4,v4,2560,1440,7,2026-09-07T22:27:51.586Z,17.954901,12.994300,13.174000,17.954901,8.439200,9.713300,1,0
hwrt-off-1440-2-v4,v4,2560,1440,8,2026-09-07T22:27:52.583Z,16.592699,12.941800,8.985400,16.592699,8.698400,9.757300,1,0
hwrt-off-1440-2-v4,v4,2560,1440,9,2026-09-07T22:27:53.581Z,15.209800,12.949500,7.207200,15.209800,8.868500,10.307600,1,0
hwrt-off-1440-2-v4,v4,2560,1440,10,2026-09-07T22:27:54.577Z,16.016399,12.962600,7.254500,16.016399,9.051200,9.933500,1,0
hwrt-off-1440-2-v4,v4,2560,1440,11,2026-09-07T22:27:55.588Z,15.757500,12.952800,7.935900,15.757500,8.665000,9.830800,1,0
hwrt-off-1440-2-v4,v4,2560,1440,12,2026-09-07T22:27:56.586Z,15.921000,12.975500,8.038200,15.921000,8.634500,10.234900,1,0
hwrt-off-1440-2-v4,v4,2560,1440,13,2026-09-07T22:27:57.585Z,16.749701,12.959700,6.579500,16.749701,8.473200,9.748200,1,0
hwrt-off-1440-2-v4,v4,2560,1440,14,2026-09-07T22:27:58.583Z,16.576300,12.968900,6.875300,16.576300,8.555600,9.933100,1,0
hwrt-off-1440-2-v4,v4,2560,1440,15,2026-09-07T22:27:59.580Z,15.583000,12.998600,7.422600,15.583000,8.471100,9.743000,1,0
hwrt-off-1440-2-v4,v4,2560,1440,16,2026-09-07T22:28:00.578Z,16.966101,12.960200,9.013300,16.966101,8.599700,9.840200,1,0
hwrt-off-1440-2-v4,v4,2560,1440,17,2026-09-07T22:28:01.589Z,15.159700,12.993900,7.567300,15.159700,8.534100,9.690900,1,0
hwrt-off-1440-2-v4,v4,2560,1440,18,2026-09-07T22:28:02.585Z,15.791200,12.932100,6.603600,15.791200,8.706500,9.541800,1,0
hwrt-off-1440-2-v4,v4,2560,1440,19,2026-09-07T22:28:03.582Z,15.670400,13.005800,10.052600,15.670400,8.465700,10.422800,1,0
hwrt-off-1440-2-v4,v4,2560,1440,20,2026-09-07T22:28:04.578Z,17.198999,12.949700,8.014400,17.198999,8.656900,9.634800,1,0
